rand_lat,rand_lng,closest_city,country,Temp,Humidity,Date,Wind Speed,Cloudiness
-9.690049232723936,-27.540482635186265,olinda,br,80.6,69.0,06/17/2018,2.24,90.0
50.79557721855821,134.566715686774,berezovyy,ru,55.14,92.0,06/17/2018,3.38,92.0
7.913759527333923,120.01529775852526,simbahan,ph,85.38,97.0,06/17/2018,10.98,92.0
28.513353799811554,90.10181551214293,gasa,bt,33.72,88.0,06/17/2018,1.59,88.0
22.618021898076208,-26.09422509590749,ponta do sol,cv,66.12,79.0,06/17/2018,4.16,0.0
-6.993404774367349,2.84193786223841,gamba,ga,32.73,99.0,06/17/2018,1.59,92.0
48.70750866037454,-112.82266897875994,cardston,ca,64.4,71.0,06/17/2018,14.99,90.0
52.17624140254148,112.33650700950415,yablonovo,ru,60.8,59.0,06/17/2018,8.95,0.0
-17.607328158801437,-162.63332214331467,avarua,ck,77.0,69.0,06/17/2018,6.93,40.0
-35.25761267664298,-132.8511128180465,rikitea,pf,74.85,100.0,06/17/2018,27.42,92.0
42.10606234312982,74.36070656212698,kant,kg,45.87,77.0,06/17/2018,2.26,36.0
-27.37342199080353,18.374156340841154,karasburg,na,43.35,70.0,06/17/2018,2.93,0.0
51.98236828134142,-104.16988175751662,wynyard,ca,71.34,37.0,06/17/2018,6.85,88.0
31.0725316412792,-101.33443764689831,san angelo,us,96.8,32.0,06/17/2018,10.29,75.0
-22.308650021216152,-40.800479862708954,sao joao da barra,br,73.4,78.0,06/17/2018,16.11,40.0
7.609576316070019,-44.73508064606264,saint-georges,gf,75.3,50.0,06/17/2018,6.4,92.0
20.921959199507768,-106.95340913305907,bucerias,mx,86.0,74.0,06/17/2018,11.41,75.0
7.720735369044277,56.34999125647144,bandarbeyla,so,76.47,87.0,06/17/2018,31.68,8.0
83.68200468435742,17.440631692230056,longyearbyen,sj,35.6,97.0,06/17/2018,17.22,75.0
-27.19825921485898,159.6102801523869,byron bay,au,35.6,100.0,06/17/2018,5.82,0.0
-23.997973130911888,-78.67471056403028,antofagasta,cl,55.4,76.0,06/17/2018,8.05,75.0
17.664119414876765,-90.55210584807097,san carlos,mx,75.03,100.0,06/17/2018,7.18,88.0
53.40660071389141,-52.269962363434004,saint anthony,ca,68.0,55.0,06/17/2018,6.93,75.0
12.529445226692715,-89.02111652792149,puerto el triunfo,sv,87.8,66.0,06/17/2018,5.82,20.0
-9.267902180560696,-49.864342206764604,conceicao do araguaia,br,87.27,43.0,06/17/2018,2.82,0.0
-7.6727899669339905,-78.26731798986283,cajabamba,pe,49.02,72.0,06/17/2018,3.94,68.0
-48.08851959940587,-99.57665437315049,castro,cl,53.88,96.0,06/17/2018,10.42,92.0
-15.000846143786646,-35.18898597413741,belmonte,br,69.09,66.0,06/17/2018,5.95,0.0
-84.77792612691184,13.888730534822457,bredasdorp,za,57.2,67.0,06/17/2018,13.87,92.0
62.9870225065915,-105.52482860423713,la ronge,ca,77.0,36.0,06/17/2018,9.17,75.0
-58.64037127574266,15.237927679886809,hermanus,za,54.69,97.0,06/17/2018,9.08,92.0
71.95009956583877,153.40225599351265,srednekolymsk,ru,51.54,73.0,06/17/2018,3.27,68.0
51.98654933265797,-7.8154273651375945,youghal,ie,57.2,76.0,06/17/2018,14.99,40.0
-59.60013386254691,133.69379766180361,new norfolk,au,46.4,75.0,06/17/2018,14.99,75.0
34.35603559906933,-62.53644831404246,saint george,bm,69.8,83.0,06/17/2018,2.93,20.0
25.791941135742718,-129.95906069215152,lompoc,us,68.0,63.0,06/17/2018,6.93,90.0
25.326318003347566,-91.11244871367678,houma,us,67.47,80.0,06/17/2018,3.71,92.0
70.95419828772538,172.6600960115959,komsomolskiy,ru,37.41,91.0,06/17/2018,16.8,0.0
45.31642215230997,112.35357533057748,baruun-urt,mn,50.91,93.0,06/17/2018,10.76,0.0
36.799154873495524,25.384831653496775,ios,gr,73.4,73.0,06/17/2018,5.82,0.0
-52.17189253736016,161.73258061652547,tuatapere,nz,41.64,100.0,06/17/2018,1.92,92.0
31.10766015748591,11.619669454214915,jadu,ly,73.77,40.0,06/17/2018,5.39,0.0
13.9319084293179,18.68898299159582,ati,td,86.64,45.0,06/17/2018,9.64,8.0
9.089928149475625,128.42442823760427,bacolod,ph,77.46,88.0,06/17/2018,6.29,24.0
53.06191711546384,-131.2301936663713,prince rupert,ca,57.2,87.0,06/17/2018,9.17,90.0
12.700680984240549,-63.57421157200642,la asuncion,ve,49.02,72.0,06/17/2018,3.94,68.0
39.89629387360188,57.771379219850985,baherden,tm,69.27,31.0,06/17/2018,5.39,0.0
-13.973575256748973,31.683431356434568,katete,zm,61.98,83.0,06/17/2018,0.58,12.0
5.162365708504126,-61.976769468996906,boa vista,br,80.6,74.0,06/17/2018,3.36,75.0
43.081075987967466,45.06869694972363,galashki,ru,59.82,100.0,06/17/2018,1.7,100.0
-29.41559055493959,175.69236302193588,kaeo,nz,59.28,96.0,06/17/2018,15.68,88.0
59.76554681436926,115.82620703058183,lensk,ru,52.44,89.0,06/17/2018,2.93,36.0
44.400120091031454,-85.6134345047393,cadillac,us,93.2,49.0,06/17/2018,17.22,1.0
24.893875871497883,-109.48772495640152,topolobampo,mx,89.6,55.0,06/17/2018,18.34,5.0
40.33776161500418,121.66368654326953,xiongyue,cn,61.89,93.0,06/17/2018,6.96,76.0
57.32669790386265,102.63101697804353,zheleznodorozhnyy,ru,62.6,76.0,06/17/2018,2.24,0.0
-8.1541558381508,-39.46683142979637,parnamirim,br,78.8,74.0,06/17/2018,12.75,75.0
65.48994888941087,19.80606813468478,skelleftea,se,55.4,58.0,06/17/2018,4.7,0.0
71.06952701307281,-9.271032254110196,hofn,is,46.23,100.0,06/17/2018,24.52,92.0
-0.3087831720546603,106.38319192258683,kijang,id,68.0,77.0,06/17/2018,5.82,0.0
-16.805487573901857,-36.907973882203095,santa cruz cabralia,br,75.2,78.0,06/17/2018,4.7,20.0
-17.57572633577368,62.76105328976209,quatre cocos,mu,75.2,83.0,06/17/2018,2.24,40.0
-15.04350823392683,33.16809067822692,tete,mz,74.31,52.0,06/17/2018,10.65,44.0
-31.07993234177239,25.851807254184592,burgersdorp,za,48.12,40.0,06/17/2018,11.54,8.0
47.78886594472871,29.597374006441015,balta,ua,65.13,90.0,06/17/2018,3.27,48.0
11.60900498912794,-54.42318324323061,oistins,bb,84.2,74.0,06/17/2018,20.8,40.0
-26.826269702753777,58.67742457200336,saint-philippe,re,86.0,40.0,06/17/2018,4.7,1.0
9.505047690804261,-22.83812862215271,praia,cv,71.6,60.0,06/17/2018,9.17,40.0
78.38835613905977,33.70701355846916,vardo,no,89.6,58.0,06/17/2018,3.36,1.0
-23.88822381416712,34.95833592675825,maxixe,mz,64.86,100.0,06/17/2018,6.4,0.0
18.56490503105563,109.33253024028835,wanning,cn,71.6,60.0,06/17/2018,8.05,75.0
-16.4827102833017,156.16943222794265,honiara,sb,73.4,94.0,06/17/2018,2.24,40.0
56.56517348722207,-88.67885227265131,geraldton,ca,64.4,93.0,06/17/2018,6.93,90.0
19.14833097699851,-80.3996861586089,bodden town,ky,87.8,66.0,06/17/2018,14.99,20.0
87.78402134917707,-165.13333632620464,barrow,us,57.39,45.0,06/17/2018,15.23,8.0
78.72767877934112,110.91968121301602,saskylakh,ru,58.92,83.0,06/17/2018,7.63,76.0
60.97564564440421,53.28460579634728,ust-kulom,ru,56.04,68.0,06/17/2018,5.84,8.0
51.466865204185154,-80.24373892735622,moose factory,ca,60.8,93.0,06/17/2018,11.41,90.0
-18.597379731236302,-62.605574326221884,san julian,bo,87.8,100.0,06/17/2018,2.24,40.0
-25.18564854296295,-33.25594139988053,guarapari,br,75.2,83.0,06/17/2018,11.41,40.0
48.90334248058298,36.641959790166965,blyznyuky,ua,66.84,32.0,06/17/2018,9.98,0.0
35.080343571759386,107.09178823025945,pingliang,cn,61.17,97.0,06/17/2018,2.93,92.0
53.577172665231416,-45.653344790749685,nanortalik,gl,35.07,100.0,06/17/2018,11.77,80.0
25.90100594961804,41.00778683991001,buraydah,sa,89.6,24.0,06/17/2018,4.7,0.0
20.225689721238524,102.32545930126656,luang prabang,la,72.51,98.0,06/17/2018,1.92,88.0
25.563143762594592,74.0493101303866,devgarh,in,59.37,75.0,06/17/2018,1.81,88.0
57.02579033933884,-9.364243786734903,killybegs,ie,54.15,99.0,06/17/2018,19.04,92.0
54.308847262526996,-59.194077895214505,saint-augustin,ca,62.6,72.0,06/17/2018,3.36,0.0
-41.854315937335784,-69.62407825143214,san carlos de bariloche,ar,53.6,71.0,06/17/2018,26.4,40.0
51.96098625209132,-10.37135261272968,dingle,ie,78.27,90.0,06/17/2018,4.27,76.0
-19.66704666312299,177.38251589377978,isangel,vu,74.76,100.0,06/17/2018,12.44,36.0
-12.243247178726122,-51.96122558703658,sao miguel do araguaia,br,76.29,73.0,06/17/2018,4.27,0.0
11.116445246790065,-73.85370649303736,santa marta,co,91.4,66.0,06/17/2018,11.41,20.0
-40.296771504425244,-39.641008251602585,cidreira,br,52.53,83.0,06/17/2018,6.51,12.0
18.32142375019457,93.90448683622088,pyay,mm,77.37,91.0,06/17/2018,1.92,48.0
57.55279253146833,158.08623668961388,tigil,ru,47.76,85.0,06/17/2018,4.38,88.0
-9.80669382605278,23.52262657698148,luau,ao,62.16,58.0,06/17/2018,3.27,0.0
33.276773550090155,-95.48291278834449,sulphur springs,us,95.0,41.0,06/17/2018,8.05,75.0
49.10800541309729,46.756836018520886,verkhniy baskunchak,ru,63.33,33.0,06/17/2018,10.2,0.0
69.21275689830566,-83.17348621292076,clyde river,ca,46.4,75.0,06/17/2018,4.7,1.0
18.067353291542517,-104.62315598752261,manzanillo,mx,89.88,89.0,06/17/2018,5.06,48.0
60.194594488181934,159.86090475619073,palana,ru,51.27,73.0,06/17/2018,3.38,0.0
63.08102310149533,142.51133936893058,ust-nera,ru,51.27,75.0,06/17/2018,2.59,48.0
73.01308792165415,22.060109046276636,oksfjord,no,51.8,75.0,06/17/2018,10.29,0.0
-82.95739449237276,77.59733420456928,busselton,au,58.56,100.0,06/17/2018,22.95,100.0
51.86459580328628,-126.82439220666143,port hardy,ca,60.8,72.0,06/17/2018,4.7,20.0
65.51192398240528,113.67748021172423,udachnyy,ru,56.49,63.0,06/17/2018,4.16,48.0
-5.745489020583548,146.26642196830682,kainantu,pg,60.54,96.0,06/17/2018,1.48,24.0
59.965784282046144,123.40796578184523,nizhniy kuranakh,ru,54.78,85.0,06/17/2018,3.27,92.0
-17.880093091187632,75.45089605141766,hithadhoo,mv,83.76,100.0,06/17/2018,7.18,92.0
-21.871241256726037,140.4942206256763,mount isa,au,50.0,46.0,06/17/2018,9.17,0.0
-11.224872086078918,-87.3250503543567,pimentel,pe,80.61,74.0,06/17/2018,3.6,8.0
55.10685028663187,-31.67247553051979,tasiilaq,gl,41.0,98.0,06/17/2018,6.93,0.0
38.45508130937341,-113.75992332888153,cedar city,us,77.0,25.0,06/17/2018,24.16,40.0
-5.7984707249996745,155.56171086569486,arawa,pg,77.55,82.0,06/17/2018,4.72,24.0
7.50170175644206,-100.68562531452945,puerto escondido,mx,82.4,74.0,06/17/2018,8.05,90.0
57.03629150845882,40.00264302969552,ilinskoye-khovanskoye,ru,62.34,55.0,06/17/2018,4.94,88.0
55.37675602396601,66.76037754168962,lebyazhye,ru,64.4,68.0,06/17/2018,4.47,0.0
27.41989943126751,71.12328878221317,jaisalmer,in,91.14,44.0,06/17/2018,17.25,0.0
37.65680412274938,-74.9092225345771,salisbury,us,60.8,93.0,06/17/2018,8.05,90.0
17.523257155456875,65.39579575930875,porbandar,in,85.02,80.0,06/17/2018,14.56,92.0
68.81228345407325,53.50722787020629,iskateley,ru,46.32,75.0,06/17/2018,2.71,20.0
-35.54623515791931,143.88257151076482,swan hill,au,45.24,83.0,06/17/2018,10.98,20.0
17.526331434387686,-75.3548960421363,morant bay,jm,89.6,70.0,06/17/2018,24.16,20.0
27.98080390562886,100.8359125313986,xichang,cn,59.37,100.0,06/17/2018,1.81,92.0
-35.24342595345364,-64.6474898305471,general pico,ar,55.14,55.0,06/17/2018,8.08,0.0
-31.867004973301825,135.1869488411454,flinders,au,50.0,71.0,06/17/2018,16.11,0.0
38.53609919569041,-62.265447493721595,liverpool,ca,62.6,87.0,06/17/2018,11.41,40.0
37.51199099159891,140.2668205128341,motomiya,jp,55.32,96.0,06/17/2018,2.48,88.0
23.653822161398494,174.74036916005758,butaritari,ki,80.97,100.0,06/17/2018,2.37,48.0
59.33756488533879,114.73767843230678,kropotkin,ru,69.18,62.0,06/17/2018,12.66,100.0
-13.318344805695048,21.72315853216429,zambezi,zm,55.68,71.0,06/17/2018,2.82,0.0
-17.22247595330532,113.00492788616253,karratha,au,57.75,51.0,06/17/2018,10.54,0.0
13.103141711087773,47.269389122966004,aden,ye,86.1,88.0,06/17/2018,5.17,44.0
